Id,Name,PhotoUrl,ContactName,ContactPhone,ContactEmail,OnRoad,OnStage,DayId,VenueId
1,lord esperanza,https://risibank.fr/cache/stickers/d594/59429-full.png,johnyyyy,0654650000,lordyyyyyy@esperanza.com,6,2,1,3
2,biffty & dj weedim,http://www.printemps-bourges.com/wmedias/original/pdb18/programme/artistes/biffty__weedim/pdb18_site_artistes_BifftyDjWeedim-_1280x660.jpg,john doe,0600000000,contact@gmail.com,5,2,1,3
3,ho99o9,http://78.media.tumblr.com/a5f929b5aed31a5f96b2caa24bad2e44/tumblr_inline_p625krVD5G1sitizh_540.png,john doe,0600000000,contact@gmail.com,5,2,1,3
4,gangue,http://mixmag.fr/assets/uploads/images/_fullX2/GANGUE-Antoine-Ott-3.jpg,john doe,0600000000,contact@gmail.com,5,2,1,3
5,myth syzer,https://images.sneakersaddict.com/images//myth-syzer-2018-1000x562.png,john doe,0600000000,contact@gmail.com,5,2,1,3
6,wilko & ndy,https://www.trends.fr/wp-content/uploads/2018/04/wilkoetndy-trends.png,john doe,0600000000,contact@gmail.com,5,2,2,3
7,j.i.d & earthgang,https://ssli.ulximg.com/image/740x493/gallery/1519150337_9d28fc91cc76555d0251102949635e2e.jpg/d5a000319604ec8f0d99e265a49832d6/1519150337_4402141141fce6142025f02d7c739c7e.jpg,john doe,0600000000,contact@gmail.com,5,3,2,3
8,moha la squale,http://www.sinoxdvd.com/wp-content/uploads/2018/06/sans-titre-1-114.jpg,john doe,0600000000,contact@gmail.com,10,4,2,3
9,ross from friends,https://bandcampblog.files.wordpress.com/2016/08/ross_from_friends-600-1.jpg?w=800,john doe,0600000000,contact@gmail.com,3,3,2,3
10,bicep,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQR3HetpmCWNynqhjeMfooLvzFfF4kY8FvbSSPHT1MGCB0ti-X1,john doe,0600000000,contact@gmail.com,5,2,2,3
11,ben ufo,https://www.marsatac.com/wp-content/uploads/2018/02/Ben_Ufo_by_Will_Bankhead-web-580x380.jpg,john doe,0600000000,contact@gmail.com,1,1,2,3
12,chloé,https://www.marsatac.com/wp-content/uploads/2018/02/chloe-web-580x380.jpg,john doe,0600000000,contact@gmail.com,2,1,1,2
13,amélie lens,https://www.marsatac.com/wp-content/uploads/2018/02/Amelie_Lens_by_Eva_Vlonk-web-580x380.jpg,john doe,0600000000,contact@gmail.com,2,1,1,2
14,sam paganini,https://www.ravejungle.com/wp-content/uploads/2017/08/Sam-Paganini-ravejungle.jpg,john doe,0600000000,contact@gmail.com,3,1,1,2
15,boris brejcha,https://static1.squarespace.com/static/52a9de2de4b0d1de7d8cf377/t/5a00da8c4192027137d0ccef/1510005412946/KIDKUTSMEDIA-6548.jpg,john doe,0600000000,contact@gmail.com,3,1,1,2
16,kokoko!,http://pan-african-music.com/wp-content/uploads/2018/06/Kokoko.jpg,john doe,0600000000,contact@gmail.com,6,5,2,2
17,nasser,http://www.kosmic-webzine.com/wp-content/uploads/2018/04/Nasser-1.jpg,john doe,0600000000,contact@gmail.com,4,2,2,2
18,hungry 5,http://d3s4rtoucjtwa6.cloudfront.net/artistes/1500-1518009606.jpg,john doe,0600000000,contact@gmail.com,5,4,2,2
19,blawan,https://www.residentadvisor.net/images/news/2017/blawan-remixing-lucy-on-zehnin-october-2017.jpg,john doe,0600000000,contact@gmail.com,6,3,2,2
20,nina kraviz,https://www.elnacional.cat/uploads/s1/18/69/31/8/spi3747_6980_ninakraviz_credit_paola_kudacki_3_1_630x630.png,john doe,0600000000,contact@gmail.com,2,1,2,1
21,lomepal & roméo elvis,https://moustique.cdnartwhere.eu/sites/default/files/styles/large/public/field/image/illu_romeo.jpg?itok=JK7MPPyD,john doe,0600000000,contact@gmail.com,6,3,1,1
22,iam,https://i.scdn.co/image/ce03b673d12a1b23eecc4c3f790e36ea6005aa42,john doe,0600000000,contact@gmail.com,11,6,1,1
23,petit biscuit,http://mtv.mtvnimages.com/uri/mgid:file:gsp:scenic:/international/mtvema/2017/images/nominees/PETIT_BISCUIT_1940x720.jpg?quality=0.85&width=1024&height=450&crop=true,john doe,0600000000,contact@gmail.com,2,1,1,1
24,aloha orchestra,http://www.greenroom.fr/wp-content/uploads/2015/07/alohaok.jpg,john doe,0600000000,contact@gmail.com,6,4,2,1
25,rejjie snow,https://www.billboard.com/files/styles/article_main_image/public/media/rejjie-snow-2018-cr-Alexandra-Gavillet-billboard-1548.jpg,john doe,0600000000,contact@gmail.com,3,2,2,1
26,nekfeu,https://mk0bookingagent97efu.kinstacdn.com/wp-content/uploads/2017/08/Nekfeu-Contact-Information.jpg,john doe,0600000000,contact@gmail.com,5,3,2,1
27,paul kalkbrenner,https://mixmag.net/assets/uploads/images/_columns2/PaulKAlbum-Artwork.jpg,john doe,0600000000,contact@gmail.com,3,1,2,1
48,fd,,,0618015477,zulihan@gmail.com,0,0,4,4
50,hgf,,,0618015477,zulihan@gmail.com,0,0,4,4
52,bc,,,0618015477,zulihan@gmail.com,0,0,4,4
