Id,UserName,NormalizedUserName,Email,NormalizedEmail,EmailConfirmed,PasswordHash,SecurityStamp,ConcurrencyStamp,PhoneNumber,PhoneNumberConfirmed,TwoFactorEnabled,LockoutEnd,LockoutEnabled,AccessFailedCount,Role
1,Luz,LUZ,luzspencer@geeknet.com,LUZSPENCER@GEEKNET.COM,0,AQAAAAEAACcQAAAAEOhlMw2fO7ZMcQXqhAW/7ViODtBgttc65VXNVkUc6JGwVHnUr1pZrsFt2NN8OJDdOA==,2YPTYICEC5U3UJUKJJDSFNU7Y7TOIBXV,8bbb3bb7-9367-4b70-863f-82c755100afb,,0,0,,1,0,admin
2,Rosella,ROSELLA,rosellaspencer@geeknet.com,ROSELLASPENCER@GEEKNET.COM,0,AQAAAAEAACcQAAAAEJw33KKD0DJcYxAFgqOJ1WKsOitPFU7hDE+XI+dyq0krWAyZZG/2kIN4xTkef+1BmQ==,HGRRC5RRJCKCHD7XAGOLS6DS3CV4RS7G,00af0253-f5d1-473a-aec7-bee74db869f6,,0,0,,1,0,admin
3,Karyn,KARYN,karynspencer@geeknet.com,KARYNSPENCER@GEEKNET.COM,0,AQAAAAEAACcQAAAAEBtJFJtodM4A6sFEZd/osGQnE/5VlMoL0oDwphfvhwueAiNxe/X6rhJIuFXJ2U7N4g==,F34AIMIROSAHJPDKBPNU4FBGLZIJILTR,f3b7b3e1-ce39-4cbe-9db9-36408853aa41,,0,0,,1,0,admin
4,Hilary,HILARY,hilaryspencer@geeknet.com,HILARYSPENCER@GEEKNET.COM,0,AQAAAAEAACcQAAAAEDaNvBHmMy5eEBv1EVS6mN5f3Uftj43EhOTux+GYjZ+DgrHkaZfTukuj+6OED9nyMw==,YFVO55Z5QQDUOTCEUWY4JGCMS3Z4NLWK,a6adc063-4be1-4495-8ef5-ad8d4f49d3d1,,0,0,,1,0,admin
5,Rhonda,RHONDA,rhondaspencer@geeknet.com,RHONDASPENCER@GEEKNET.COM,0,AQAAAAEAACcQAAAAEHBNbwxfSwFI9FXppJWYpp+mNi0kPk55EITchmnGfKBmeP7nyou+/NxPMprU2ry8Ow==,DPQFX7PLY74WWPQSK2KZCETIWP5HGD62,efde8b5c-1258-47b8-a728-2b160b2c5293,,0,0,,1,0,admin
6,Elvira,ELVIRA,elviraspencer@geeknet.com,ELVIRASPENCER@GEEKNET.COM,0,AQAAAAEAACcQAAAAEN09GapRJPZX++0a1T18+ksBXbhtMieDZLZUXdxyyL09S8JOWqLjk3rcu1f20mV1vQ==,OTBR7PY5NMM4UJA3WJ5KU6MSUBBDTQDJ,7d81cbd8-54a1-4bd6-931a-985cd61a777d,,0,0,,1,0,runner
7,Winnie,WINNIE,winniespencer@geeknet.com,WINNIESPENCER@GEEKNET.COM,0,AQAAAAEAACcQAAAAEDL5qK12oXl+CEs68CMRYO1pEdjBoBivEN1SqbadgsVizt4aesw5bIHZC8f5tjPcyw==,ZVBYIRX3WS3P5SIKH6MF6LGEAY4WZ4PK,dca57cce-3b2b-408e-b8f0-6baedab545d5,,0,0,,1,0,runner
8,Janell,JANELL,janellspencer@geeknet.com,JANELLSPENCER@GEEKNET.COM,0,AQAAAAEAACcQAAAAEKhYpxxEJ0Tc/Sx+6sm2BJuQoRj/bzbSvzHVzyqupzB6DmHVVxDT+fxf5dZQUYTwuA==,GNIDOXPGN6M2XJIPW2MUCWVVRKKB475C,a339c345-cc33-44b8-b297-78bfe5cdb3bc,,0,0,,1,0,runner
9,Mendez,MENDEZ,mendezspencer@geeknet.com,MENDEZSPENCER@GEEKNET.COM,0,AQAAAAEAACcQAAAAELy5KFc06404QTNLoOOgL+cIV+lLNkUy9WfJ3TYb0sEiMDhbcJpXakrbhoQIxCXzWQ==,4RC2UOHD3ISH46NO63ZRE5N7THDOE5C6,8be2f858-9297-4803-b1ea-eb4a4a305231,,0,0,,1,0,runner
10,Dixon,DIXON,dixonspencer@geeknet.com,DIXONSPENCER@GEEKNET.COM,0,AQAAAAEAACcQAAAAEJwvBTtjauL43iuPyedy6L8EpeKAnMXj6O56ed0N+XTIzM9bQqTSFmMMHcmXTgwVFw==,A7GMZCWCJMTHHJB4PFJPQDRKFSG2O5W2,7d887c35-5f1a-4440-9562-d5038b67558a,,0,0,,1,0,runner
11,Weiss,WEISS,weissspencer@geeknet.com,WEISSSPENCER@GEEKNET.COM,0,AQAAAAEAACcQAAAAEI1nJCriDXiyfpv79faMdbnROA10DADoxsk7IOTRLkx/nh52gD6H7KEs6Y1rrTDrVQ==,MWMMP7LEW2LH4LZ2AUJOS7SEXNJIOSOQ,3ae7f363-f2ed-4da2-a326-409f70e89d5c,,0,0,,1,0,runner
12,Lula,LULA,lulaspencer@geeknet.com,LULASPENCER@GEEKNET.COM,0,AQAAAAEAACcQAAAAEDsOa7YU0FYqoNZpesXsaGbLhTBRd7P1d++HSkOlwj8M76vkt6gwIIn2XcPTPAVDYA==,34AZX4EDGGA36E3PK5TWSDK34IMH2YNM,be2885d9-5965-4eea-8f63-c245c35164fe,,0,0,,1,0,host
13,Gladys,GLADYS,gladysspencer@geeknet.com,GLADYSSPENCER@GEEKNET.COM,0,AQAAAAEAACcQAAAAELiHTZEd7yM8oE2uLDy4OZrt2P0ZfTjDh5wg5qJFRZiQbdE2RbfkzYMcH92xstgGxw==,POCCRY7CTOLLBSORK3DIVKMYZQRZXBFN,940b9627-1a52-4be6-bc9b-7774590b87b6,,0,0,,1,0,host
14,Walker,WALKER,mccartyspencer@geeknet.com,MCCARTYSPENCER@GEEKNET.COM,0,AQAAAAEAACcQAAAAEHDBKKOkfQPsEJNcgjhs0n0Rw79JAwkSY51VflMk6AVbsonHwE6E11Z+g3XAljk80A==,YEH3QZLX7NXVFKASEXNAEI7QGS5GWBL5,7bef2d39-47c1-47e8-82e5-630b947a1095,,0,0,,1,0,host
15,zu,ZU,zulihan@gmail.com,ZULIHAN@GMAIL.COM,0,AQAAAAEAACcQAAAAEBvBaMoPCODZM79bYNTmZffPhvSRrYcucNLmhDUKvqbpaNXvYeML4D+U5W+cb51NGw==,D7DZGOPQZ2VVLFBCLVYF65UU5W7RL4QI,84db29cf-1705-442f-b802-c1318e0f10a1,0618015477,0,0,,1,0,host
